Tiempo(s);Concentracion (ppm);Temperatura;Humedad
0;0.17;23.0;47.0
2;0.17;23.0;47.0
3;0.17;23.0;47.0
4;0.17;23.0;47.0
5;0.17;23.0;47.0
6;0.18;23.0;47.0
8;0.18;23.0;47.0
9;0.18;23.0;47.0
10;0.18;23.0;47.0
